11	1	3050
12	2	1115
13	2	1115
14	2	1115	
15	2	1115
22	1	3060
25	2	1025
25	2	1051
25	2	1320
25	2	1015
24	2	1025
24	2	1051
24	2	1320
24	2	1015
23	2	1015
23	2	1051
23	2	1320
21	2	1020
21	2	1025
21	2	1320
51	1	5002
52	1	5002
53	1	5002
54	1	5002
55	1	5000
51	2	8001
51	2	8000
51	2	8003
51	2	9000
51	2	8002
51	2	8030
52	2	8001
52	2	8000
52	2	8003
52	2	9000
52	2	8002
52	2	8030
53	2	8001
53	2	8000
53	2	8003
53	2	9000
53	2	8002
53	2	8030
54	2	8001
54	2	8000
54	2	8003
54	2	9000
54	2	8002
54	2	8030
33	1	3090
31	2	1000
31	2	1001
31	2	1055
31	2	1055
31	2	1075
31	2	1100
31	2	1175
31	2	1170
31	2	1010
31	2	1050
31	2	1125
31	2	5001
32	2	1000
32	2	1001
32	2	1055
32	2	1055
32	2	1075
32	2	1100
32	2	1175
32	2	1170
32	2	1010
32	2	1050
32	2	1125
32	2	5001
34	2	1001
34	2	1085
34	2	1090
34	2	1095
34	2	1100
34	2	1170
34	2	1125
34	2	5001
35	2	1000
35	2	1001
35	2	1055
35	2	1085
35	2	1100
35	2	1175
35	2	1170
35	2	1010
35	2	1050
35	2	1125
35	2	5001
44	1	3080
41	2	1150
41	2	1180
41	2	1120
41	2	1002
41	2	1160
41	2	1165
41	2	1010
41	2	1125
41	2	5001
42	2	1150
42	2	1180
42	2	1120
42	2	1002
42	2	1160
42	2	1165
42	2	1010
42	2	1125
42	2	5001
43	2	1001
43	2	1002
43	2	1150
43	2	1180
43	2	1160
43	2	1165
43	2	1125
43	2	5001
45	2	1150
45	2	1180
45	2	1120
45	2	1002
45	2	1160
45	2	1165
45	2	1010
45	2	1125
45	2	5001
